num	count	word
1493	1	towns	
1494	5	trade	
1495	1	tradition	
1496	2	train	
1497	2	trained	
1498	2	training	
1499	1	trains	
1500	1	transgender	
1501	2	transition	
1502	1	translate	
1503	1	transparency	
1504	1	treat	
1505	1	treating	
1506	1	treatment	
1507	1	trend	
1508	1	tries	
1509	1	trigger	
1510	1	trivial	
1511	3	troops	
1512	2	true	
1513	2	truly	
1514	1	trust	
1515	2	truth	
1516	3	try	
1517	2	trying	
1518	1	tucson	
1519	1	turn	
1520	1	turned	
1521	1	turning	
1522	1	tweet	
1523	1	twenty	
1524	9	two	
1525	1	typical	
1526	1	ukraine	
1527	1	ultimately	
1528	4	understand	
1529	1	undo	
1530	1	unemployment	
1531	1	unfolded	
1532	1	unilaterally	
1533	1	uninsured	
1534	2	union	
1535	1	unions	
1536	1	unite	
1537	7	united	
1538	2	universal	
1539	1	universities	
1540	1	university	
1541	1	unleash	
1542	1	unleashed	
1543	1	unnecessary	
1544	1	unraveling	
1545	1	unstoppable	
1546	2	until	
1547	1	untold	
1548	20	up	
1549	1	update	
1550	1	upgrade	
1551	1	uphold	
1552	1	upholding	
1553	1	upholds	
1554	1	ups	
1555	1	urge	
1556	29	us	
1557	9	use	
1558	2	used	
1559	2	using	
1560	1	vacations	
1561	1	valleys	
1562	1	value	
1563	6	values	
1564	1	vast	
1565	31	ve	
1566	1	verdict	
1567	6	very	
1568	3	veteran	
1569	4	veterans	
1570	2	veto	
1571	1	vets	
1572	2	vice	
1573	1	vicious	
1574	1	view	
1575	1	violent	
1576	1	virginia	
1577	3	vision	
1578	1	visit	
1579	1	voice	
1580	3	vote	
1581	2	voting	
1582	1	vulnerable	
1583	3	wage	
1584	4	wages	
1585	1	waited	
1586	1	waiting	
1587	1	walk	
1588	1	walks	
1589	1	wall	
1590	20	want	
1591	1	wants	
1592	4	war	
1593	2	warmest	
1594	1	wars	
1595	9	was	
1596	3	washington	
1597	1	wasn	
1598	1	watch	
1599	1	watchdog	
1600	1	watched	
1601	1	waters	
1602	1	waves	
1603	4	way	
1604	2	ways	
1605	180	we	
1606	1	weaken	
1607	1	wealth	
1608	1	wedge	
1609	2	weeks	
1610	1	welcome	
1611	4	well	
1612	1	went	
1613	6	were	
1614	4	west	
1615	18	what	
1616	17	when	
1617	18	where	
1618	2	whether	
1619	4	which	
1620	6	while	
